- Starting heuristic -
TSP  Iteration:       0  13554
---- Iteration:       0  13554
TSP  Iteration:       5  13323
TSP  Iteration:       6  13314
---- Iteration:     500  13314
---- Iteration:    1000  13314
---- Iteration:    1500  13314
---- Iteration:    2000  13314
---- Iteration:    2500  13314
---- Iteration:    3000  13314
---- Iteration:    3500  13314
---- Iteration:    4000  13314
---- Iteration:    4500  13314
---- Iteration:       0  13314
---- Iteration:     500  13314
---- Iteration:    1000  13314
---- Iteration:    1500  13314
---- Iteration:    2000  13314
---- Iteration:    2500  13314
---- Iteration:    3000  13314
---- Iteration:    3500  13314
---- Iteration:    4000  13314
---- Iteration:    4500  13314
Feasible solution found

