- Starting heuristic -
TSP  Iteration:       0  11777
---- Iteration:       0  11777
TSP  Iteration:       4  11775
TSP  Iteration:       5  11724
TSP  Iteration:       6  11722
---- Iteration:     500  11722
---- Iteration:    1000  11722
---- Iteration:    1500  11722
---- Iteration:    2000  11722
---- Iteration:    2500  11722
---- Iteration:    3000  11722
---- Iteration:    3500  11722
---- Iteration:    4000  11722
---- Iteration:    4500  11722
---- Iteration:       0  11722
---- Iteration:     500  11722
---- Iteration:    1000  11722
---- Iteration:    1500  11722
---- Iteration:    2000  11722
---- Iteration:    2500  11722
---- Iteration:    3000  11722
---- Iteration:    3500  11722
---- Iteration:    4000  11722
---- Iteration:    4500  11722
Feasible solution found

