- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       4  11969
TSP  Iteration:       5  11880
---- Iteration:     500  11880
---- Iteration:    1000  11880
---- Iteration:    1500  11880
---- Iteration:    2000  11880
---- Iteration:    2500  11880
---- Iteration:    3000  11880
---- Iteration:    3500  11880
---- Iteration:    4000  11880
---- Iteration:    4500  11880
---- Iteration:       0  11880
TSP  Iteration:       9  11866
---- Iteration:     500  11866
---- Iteration:    1000  11866
---- Iteration:    1500  11866
---- Iteration:    2000  11866
---- Iteration:    2500  11866
---- Iteration:    3000  11866
---- Iteration:    3500  11866
---- Iteration:    4000  11866
---- Iteration:    4500  11866
Feasible solution found

