- Starting heuristic -
TSP  Iteration:       0  11224
---- Iteration:       0  11224
TSP  Iteration:      25  11018
TSP  Iteration:      34  10361
TSP  Iteration:      41  10215
TSP  Iteration:     175  10184
TSP  Iteration:     205  10172
TSP  Iteration:     311   9951
---- Iteration:     500   9951
---- Iteration:    1000   9951
TSP  Iteration:    1330   9833
TSP  Iteration:    1338   9633
---- Iteration:    1500   9633
---- Iteration:    2000   9633
---- Iteration:    2500   9633
---- Iteration:    3000   9633
---- Iteration:    3500   9633
---- Iteration:    4000   9633
---- Iteration:    4500   9633
TSP  Iteration:       0   9473
---- Iteration:       0   9473
TSP  Iteration:      49   9145
TSP  Iteration:      99   9089
TSP  Iteration:     168   8989
TSP  Iteration:     271   8909
TSP  Iteration:     355   8862
TSP  Iteration:     382   8692
---- Iteration:     500   8692
---- Iteration:    1000   8692
---- Iteration:    1500   8692
---- Iteration:    2000   8692
TSP  Iteration:    2319   8614
---- Iteration:    2500   8614
---- Iteration:    3000   8614
---- Iteration:    3500   8614
---- Iteration:    4000   8614
---- Iteration:    4500   8614
Feasible solution found

