- Starting heuristic -
TSP  Iteration:       0   6264
---- Iteration:       0   6264
TSP  Iteration:      25   6126
TSP  Iteration:      34   5804
TSP  Iteration:      41   5755
TSP  Iteration:      52   5703
TSP  Iteration:     175   5631
---- Iteration:     500   5631
---- Iteration:    1000   5631
TSP  Iteration:    1330   5566
TSP  Iteration:    1338   5486
---- Iteration:    1500   5486
---- Iteration:    2000   5486
---- Iteration:    2500   5486
---- Iteration:    3000   5486
---- Iteration:    3500   5486
---- Iteration:    4000   5486
---- Iteration:    4500   5486
---- Iteration:       0   5486
TSP  Iteration:      49   5250
TSP  Iteration:     161   5220
TSP  Iteration:     168   5127
TSP  Iteration:     271   5057
TSP  Iteration:     355   5029
TSP  Iteration:     382   4945
TSP  Iteration:     390   4903
---- Iteration:     500   4903
---- Iteration:    1000   4903
---- Iteration:    1500   4903
TSP  Iteration:    1622   4854
---- Iteration:    2000   4854
TSP  Iteration:    2319   4789
---- Iteration:    2500   4789
---- Iteration:    3000   4789
---- Iteration:    3500   4789
---- Iteration:    4000   4789
---- Iteration:    4500   4789
Feasible solution found

