- Starting heuristic -
TSP  Iteration:       0   8193
---- Iteration:       0   8193
TSP  Iteration:      16   7322
---- Iteration:     500   7322
---- Iteration:    1000   7322
---- Iteration:    1500   7322
---- Iteration:    2000   7322
---- Iteration:    2500   7322
---- Iteration:    3000   7322
---- Iteration:    3500   7322
---- Iteration:    4000   7322
---- Iteration:    4500   7322
---- Iteration:       0   7322
---- Iteration:     500   7322
---- Iteration:    1000   7322
---- Iteration:    1500   7322
---- Iteration:    2000   7322
---- Iteration:    2500   7322
---- Iteration:    3000   7322
---- Iteration:    3500   7322
---- Iteration:    4000   7322
---- Iteration:    4500   7322
Feasible solution found

