- Starting heuristic -
TSP  Iteration:       0   5627
---- Iteration:       0   5627
TSP  Iteration:       2   5488
TSP  Iteration:       3   5225
TSP  Iteration:      16   5100
---- Iteration:     500   5100
---- Iteration:    1000   5100
---- Iteration:    1500   5100
---- Iteration:    2000   5100
---- Iteration:    2500   5100
---- Iteration:    3000   5100
---- Iteration:    3500   5100
---- Iteration:    4000   5100
---- Iteration:    4500   5100
---- Iteration:       0   5100
TSP  Iteration:      44   5097
---- Iteration:     500   5097
---- Iteration:    1000   5097
---- Iteration:    1500   5097
---- Iteration:    2000   5097
---- Iteration:    2500   5097
---- Iteration:    3000   5097
---- Iteration:    3500   5097
---- Iteration:    4000   5097
---- Iteration:    4500   5097
Feasible solution found

