- Starting heuristic -
TSP  Iteration:       0   8193
---- Iteration:       0   8193
---- Iteration:     500   8193
---- Iteration:    1000   8193
---- Iteration:    1500   8193
---- Iteration:    2000   8193
---- Iteration:    2500   8193
---- Iteration:    3000   8193
---- Iteration:    3500   8193
---- Iteration:    4000   8193
---- Iteration:    4500   8193
TSP  Iteration:       0   7547
---- Iteration:       0   7547
---- Iteration:     500   7547
---- Iteration:    1000   7547
---- Iteration:    1500   7547
---- Iteration:    2000   7547
---- Iteration:    2500   7547
---- Iteration:    3000   7547
---- Iteration:    3500   7547
---- Iteration:    4000   7547
---- Iteration:    4500   7547
Feasible solution found

