- Starting heuristic -
TSP  Iteration:       0  10207
---- Iteration:       0  10207
TSP  Iteration:       2   9799
TSP  Iteration:       3   9647
TSP  Iteration:      16   9586
---- Iteration:     500   9586
---- Iteration:    1000   9586
---- Iteration:    1500   9586
---- Iteration:    2000   9586
---- Iteration:    2500   9586
---- Iteration:    3000   9586
---- Iteration:    3500   9586
---- Iteration:    4000   9586
---- Iteration:    4500   9586
---- Iteration:       0   9586
---- Iteration:     500   9586
---- Iteration:    1000   9586
---- Iteration:    1500   9586
---- Iteration:    2000   9586
---- Iteration:    2500   9586
---- Iteration:    3000   9586
---- Iteration:    3500   9586
---- Iteration:    4000   9586
---- Iteration:    4500   9586
Feasible solution found

