- Starting heuristic -
TSP  Iteration:       0   3609
---- Iteration:       0   3609
---- Iteration:     500   3609
---- Iteration:    1000   3609
---- Iteration:    1500   3609
---- Iteration:    2000   3609
---- Iteration:    2500   3609
---- Iteration:    3000   3609
---- Iteration:    3500   3609
---- Iteration:    4000   3609
---- Iteration:    4500   3609
---- Iteration:       0   3609
---- Iteration:     500   3609
---- Iteration:    1000   3609
---- Iteration:    1500   3609
---- Iteration:    2000   3609
---- Iteration:    2500   3609
---- Iteration:    3000   3609
---- Iteration:    3500   3609
---- Iteration:    4000   3609
---- Iteration:    4500   3609
Feasible solution found

