- Starting heuristic -
TSP  Iteration:       0   4507
---- Iteration:       0   4507
TSP  Iteration:       4   4374
---- Iteration:     500   4374
---- Iteration:    1000   4374
---- Iteration:    1500   4374
---- Iteration:    2000   4374
---- Iteration:    2500   4374
---- Iteration:    3000   4374
---- Iteration:    3500   4374
---- Iteration:    4000   4374
---- Iteration:    4500   4374
---- Iteration:       0   4374
---- Iteration:     500   4374
---- Iteration:    1000   4374
---- Iteration:    1500   4374
---- Iteration:    2000   4374
---- Iteration:    2500   4374
---- Iteration:    3000   4374
---- Iteration:    3500   4374
---- Iteration:    4000   4374
---- Iteration:    4500   4374
Feasible solution found

