- Starting heuristic -
TSP  Iteration:       0   2207
---- Iteration:       0   2207
---- Iteration:     500   2207
---- Iteration:    1000   2207
---- Iteration:    1500   2207
---- Iteration:    2000   2207
---- Iteration:    2500   2207
---- Iteration:    3000   2207
---- Iteration:    3500   2207
---- Iteration:    4000   2207
---- Iteration:    4500   2207
---- Iteration:       0   2207
---- Iteration:     500   2207
---- Iteration:    1000   2207
---- Iteration:    1500   2207
---- Iteration:    2000   2207
---- Iteration:    2500   2207
---- Iteration:    3000   2207
---- Iteration:    3500   2207
---- Iteration:    4000   2207
---- Iteration:    4500   2207
Feasible solution found

