- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      17   3101
---- Iteration:     500   3101
---- Iteration:    1000   3101
---- Iteration:    1500   3101
---- Iteration:    2000   3101
---- Iteration:    2500   3101
---- Iteration:    3000   3101
---- Iteration:    3500   3101
---- Iteration:    4000   3101
---- Iteration:    4500   3101
---- Iteration:       0   3101
---- Iteration:     500   3101
---- Iteration:    1000   3101
---- Iteration:    1500   3101
---- Iteration:    2000   3101
---- Iteration:    2500   3101
---- Iteration:    3000   3101
---- Iteration:    3500   3101
---- Iteration:    4000   3101
---- Iteration:    4500   3101
Feasible solution found

