- Starting heuristic -
TSP  Iteration:       0   2151
---- Iteration:       0   2151
TSP  Iteration:       3   2145
TSP  Iteration:       5   2141
TSP  Iteration:       6   2135
TSP  Iteration:      17   2103
TSP  Iteration:      18   2097
TSP  Iteration:      19   2076
TSP  Iteration:      20   2060
---- Iteration:     500   2060
---- Iteration:    1000   2060
---- Iteration:    1500   2060
---- Iteration:    2000   2060
---- Iteration:    2500   2060
---- Iteration:    3000   2060
---- Iteration:    3500   2060
---- Iteration:    4000   2060
---- Iteration:    4500   2060
---- Iteration:       0   2060
TSP  Iteration:       4   2059
---- Iteration:     500   2059
---- Iteration:    1000   2059
---- Iteration:    1500   2059
---- Iteration:    2000   2059
---- Iteration:    2500   2059
---- Iteration:    3000   2059
---- Iteration:    3500   2059
---- Iteration:    4000   2059
---- Iteration:    4500   2059
Feasible solution found

