- Starting heuristic -
TSP  Iteration:       0   1855
---- Iteration:       0   1855
TSP  Iteration:       3   1831
TSP  Iteration:      20   1796
---- Iteration:     500   1796
---- Iteration:    1000   1796
---- Iteration:    1500   1796
---- Iteration:    2000   1796
---- Iteration:    2500   1796
---- Iteration:    3000   1796
---- Iteration:    3500   1796
---- Iteration:    4000   1796
---- Iteration:    4500   1796
---- Iteration:       0   1796
---- Iteration:     500   1796
---- Iteration:    1000   1796
---- Iteration:    1500   1796
---- Iteration:    2000   1796
---- Iteration:    2500   1796
---- Iteration:    3000   1796
---- Iteration:    3500   1796
---- Iteration:    4000   1796
---- Iteration:    4500   1796
Feasible solution found

