- Starting heuristic -
TSP  Iteration:       0   3147
---- Iteration:       0   3147
TSP  Iteration:       3   3101
TSP  Iteration:      20   3018
TSP  Iteration:      22   3017
---- Iteration:     500   3017
---- Iteration:    1000   3017
---- Iteration:    1500   3017
---- Iteration:    2000   3017
---- Iteration:    2500   3017
---- Iteration:    3000   3017
---- Iteration:    3500   3017
---- Iteration:    4000   3017
---- Iteration:    4500   3017
---- Iteration:       0   3017
---- Iteration:     500   3017
---- Iteration:    1000   3017
---- Iteration:    1500   3017
---- Iteration:    2000   3017
---- Iteration:    2500   3017
---- Iteration:    3000   3017
---- Iteration:    3500   3017
---- Iteration:    4000   3017
---- Iteration:    4500   3017
Feasible solution found

