- Starting heuristic -
TSP  Iteration:       0   1582
---- Iteration:       0   1582
TSP  Iteration:       1   1510
TSP  Iteration:       7   1496
TSP  Iteration:      11   1480
TSP  Iteration:      15   1476
TSP  Iteration:      20   1469
TSP  Iteration:      66   1453
TSP  Iteration:     102   1437
---- Iteration:     500   1437
---- Iteration:    1000   1437
---- Iteration:    1500   1437
---- Iteration:    2000   1437
---- Iteration:    2500   1437
---- Iteration:    3000   1437
---- Iteration:    3500   1437
---- Iteration:    4000   1437
---- Iteration:    4500   1437
---- Iteration:       0   1437
---- Iteration:     500   1437
---- Iteration:    1000   1437
---- Iteration:    1500   1437
---- Iteration:    2000   1437
---- Iteration:    2500   1437
---- Iteration:    3000   1437
---- Iteration:    3500   1437
---- Iteration:    4000   1437
---- Iteration:    4500   1437
Feasible solution found

