- Starting heuristic -
TSP  Iteration:       0   1365
---- Iteration:       0   1365
TSP  Iteration:       1   1276
TSP  Iteration:       8   1236
TSP  Iteration:      11   1218
TSP  Iteration:      20   1217
---- Iteration:     500   1217
---- Iteration:    1000   1217
---- Iteration:    1500   1217
---- Iteration:    2000   1217
---- Iteration:    2500   1217
---- Iteration:    3000   1217
---- Iteration:    3500   1217
---- Iteration:    4000   1217
---- Iteration:    4500   1217
---- Iteration:       0   1217
---- Iteration:     500   1217
---- Iteration:    1000   1217
---- Iteration:    1500   1217
---- Iteration:    2000   1217
---- Iteration:    2500   1217
---- Iteration:    3000   1217
---- Iteration:    3500   1217
---- Iteration:    4000   1217
---- Iteration:    4500   1217
Feasible solution found

