- Starting heuristic -
TSP  Iteration:       0   2577
---- Iteration:       0   2577
TSP  Iteration:      44   2399
TSP  Iteration:      66   2350
TSP  Iteration:      86   2344
TSP  Iteration:     102   2334
---- Iteration:     500   2334
---- Iteration:    1000   2334
---- Iteration:    1500   2334
---- Iteration:    2000   2334
---- Iteration:    2500   2334
---- Iteration:    3000   2334
---- Iteration:    3500   2334
---- Iteration:    4000   2334
---- Iteration:    4500   2334
---- Iteration:       0   2334
---- Iteration:     500   2334
---- Iteration:    1000   2334
---- Iteration:    1500   2334
---- Iteration:    2000   2334
---- Iteration:    2500   2334
---- Iteration:    3000   2334
---- Iteration:    3500   2334
---- Iteration:    4000   2334
---- Iteration:    4500   2334
Feasible solution found

