- Starting heuristic -
TSP  Iteration:       0 112922
---- Iteration:       0 112922
TSP  Iteration:       2 112069
TSP  Iteration:       6 110446
TSP  Iteration:       7 109345
TSP  Iteration:       8 108605
TSP  Iteration:       9 106731
TSP  Iteration:      10 104444
TSP  Iteration:     154 104101
TSP  Iteration:     170 102144
TSP  Iteration:     221 102138
TSP  Iteration:     396 101290
TSP  Iteration:     403 100463
---- Iteration:     500 100463
---- Iteration:       0 100463
---- Iteration:     500 100463
Feasible solution found

