- Starting heuristic -
---- Iteration:       0 INFEAS
---- Iteration:     500 INFEAS
---- Iteration:    1000 INFEAS
---- Iteration:    1500 INFEAS
---- Iteration:    2000 INFEAS
---- Iteration:    2500 INFEAS
---- Iteration:    3000 INFEAS
---- Iteration:    3500 INFEAS
---- Iteration:    4000 INFEAS
---- Iteration:    4500 INFEAS
TSP  Iteration:       0   8757
---- Iteration:       0   8757
---- Iteration:     500   8757
---- Iteration:    1000   8757
---- Iteration:    1500   8757
---- Iteration:    2000   8757
---- Iteration:    2500   8757
---- Iteration:    3000   8757
---- Iteration:    3500   8757
---- Iteration:    4000   8757
---- Iteration:    4500   8757
Feasible solution found

