- Starting heuristic -
TSP  Iteration:       0   9150
---- Iteration:       0   9150
TSP  Iteration:       1   8757
---- Iteration:     500   8757
---- Iteration:    1000   8757
---- Iteration:    1500   8757
---- Iteration:    2000   8757
---- Iteration:    2500   8757
---- Iteration:    3000   8757
---- Iteration:    3500   8757
---- Iteration:    4000   8757
---- Iteration:    4500   8757
---- Iteration:       0   8757
---- Iteration:     500   8757
---- Iteration:    1000   8757
---- Iteration:    1500   8757
---- Iteration:    2000   8757
---- Iteration:    2500   8757
---- Iteration:    3000   8757
---- Iteration:    3500   8757
---- Iteration:    4000   8757
---- Iteration:    4500   8757
Feasible solution found

