- Starting heuristic -
TSP  Iteration:       0   9661
---- Iteration:       0   9661
TSP  Iteration:       1   9375
---- Iteration:     500   9375
---- Iteration:    1000   9375
---- Iteration:    1500   9375
---- Iteration:    2000   9375
---- Iteration:    2500   9375
---- Iteration:    3000   9375
---- Iteration:    3500   9375
---- Iteration:    4000   9375
---- Iteration:    4500   9375
---- Iteration:       0   9375
---- Iteration:     500   9375
---- Iteration:    1000   9375
---- Iteration:    1500   9375
---- Iteration:    2000   9375
---- Iteration:    2500   9375
---- Iteration:    3000   9375
---- Iteration:    3500   9375
---- Iteration:    4000   9375
---- Iteration:    4500   9375
Feasible solution found

