- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       1   5285
---- Iteration:     500   5285
---- Iteration:    1000   5285
---- Iteration:    1500   5285
---- Iteration:    2000   5285
---- Iteration:    2500   5285
---- Iteration:    3000   5285
---- Iteration:    3500   5285
---- Iteration:    4000   5285
---- Iteration:    4500   5285
---- Iteration:       0   5285
---- Iteration:     500   5285
---- Iteration:    1000   5285
---- Iteration:    1500   5285
---- Iteration:    2000   5285
---- Iteration:    2500   5285
---- Iteration:    3000   5285
---- Iteration:    3500   5285
---- Iteration:    4000   5285
---- Iteration:    4500   5285
Feasible solution found

