- Starting heuristic -
TSP  Iteration:       0  11146
---- Iteration:       0  11146
TSP  Iteration:       1  10969
TSP  Iteration:       5  10454
TSP  Iteration:       6  10132
TSP  Iteration:       7  10100
TSP  Iteration:      21   9800
TSP  Iteration:      27   9673
TSP  Iteration:      63   9520
TSP  Iteration:      73   9277
TSP  Iteration:      74   8590
TSP  Iteration:      86   8307
TSP  Iteration:      96   8233
TSP  Iteration:     106   8084
TSP  Iteration:     191   8060
TSP  Iteration:     239   7983
---- Iteration:     500   7983
---- Iteration:    1000   7983
---- Iteration:    1500   7983
---- Iteration:    2000   7983
---- Iteration:    2500   7983
---- Iteration:    3000   7983
---- Iteration:    3500   7983
---- Iteration:    4000   7983
---- Iteration:    4500   7983
---- Iteration:       0   7983
---- Iteration:     500   7983
---- Iteration:    1000   7983
---- Iteration:    1500   7983
---- Iteration:    2000   7983
---- Iteration:    2500   7983
---- Iteration:    3000   7983
---- Iteration:    3500   7983
---- Iteration:    4000   7983
---- Iteration:    4500   7983
Feasible solution found

