- Starting heuristic -
---- Iteration:       0 INFEAS
---- Iteration:     500 INFEAS
---- Iteration:    1000 INFEAS
---- Iteration:    1500 INFEAS
---- Iteration:    2000 INFEAS
---- Iteration:    2500 INFEAS
---- Iteration:    3000 INFEAS
---- Iteration:    3500 INFEAS
---- Iteration:    4000 INFEAS
---- Iteration:    4500 INFEAS
---- Iteration:       0 INFEAS
---- Iteration:     500 INFEAS
TSP  Iteration:     622   7572
---- Iteration:    1000   7572
---- Iteration:    1500   7572
---- Iteration:    2000   7572
---- Iteration:    2500   7572
---- Iteration:    3000   7572
---- Iteration:    3500   7572
---- Iteration:    4000   7572
---- Iteration:    4500   7572
Feasible solution found

