- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      11  26472
TSP  Iteration:      53  25554
TSP  Iteration:      97  25528
TSP  Iteration:     119  25053
TSP  Iteration:     166  25050
TSP  Iteration:     185  25043
TSP  Iteration:     255  25034
---- Iteration:     500  25034
---- Iteration:       0  25034
TSP  Iteration:      33  25031
TSP  Iteration:      56  24421
TSP  Iteration:      67  24299
TSP  Iteration:      71  23385
TSP  Iteration:      75  22899
TSP  Iteration:     214  22875
TSP  Iteration:     250  22508
TSP  Iteration:     255  22376
TSP  Iteration:     330  21800
---- Iteration:     500  21800
Feasible solution found

