- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       4   3186
---- Iteration:     500   3186
---- Iteration:    1000   3186
---- Iteration:    1500   3186
---- Iteration:    2000   3186
---- Iteration:    2500   3186
---- Iteration:    3000   3186
---- Iteration:    3500   3186
---- Iteration:    4000   3186
---- Iteration:    4500   3186
---- Iteration:       0   3186
---- Iteration:     500   3186
---- Iteration:    1000   3186
---- Iteration:    1500   3186
---- Iteration:    2000   3186
---- Iteration:    2500   3186
---- Iteration:    3000   3186
---- Iteration:    3500   3186
---- Iteration:    4000   3186
---- Iteration:    4500   3186
Feasible solution found

