- Starting heuristic -
TSP  Iteration:       0   3386
---- Iteration:       0   3386
TSP  Iteration:       1   3247
TSP  Iteration:       4   3186
TSP  Iteration:       6   3167
TSP  Iteration:      28   3161
---- Iteration:     500   3161
---- Iteration:    1000   3161
---- Iteration:    1500   3161
---- Iteration:    2000   3161
---- Iteration:    2500   3161
---- Iteration:    3000   3161
---- Iteration:    3500   3161
---- Iteration:    4000   3161
---- Iteration:    4500   3161
---- Iteration:       0   3161
TSP  Iteration:       3   3160
---- Iteration:     500   3160
---- Iteration:    1000   3160
---- Iteration:    1500   3160
---- Iteration:    2000   3160
---- Iteration:    2500   3160
---- Iteration:    3000   3160
---- Iteration:    3500   3160
---- Iteration:    4000   3160
---- Iteration:    4500   3160
Feasible solution found

