- Starting heuristic -
TSP  Iteration:       0   3459
---- Iteration:       0   3459
TSP  Iteration:       1   3423
TSP  Iteration:       4   3415
---- Iteration:     500   3415
---- Iteration:    1000   3415
---- Iteration:    1500   3415
---- Iteration:    2000   3415
---- Iteration:    2500   3415
---- Iteration:    3000   3415
---- Iteration:    3500   3415
---- Iteration:    4000   3415
---- Iteration:    4500   3415
---- Iteration:       0   3415
TSP  Iteration:       3   3392
---- Iteration:     500   3392
---- Iteration:    1000   3392
---- Iteration:    1500   3392
---- Iteration:    2000   3392
---- Iteration:    2500   3392
---- Iteration:    3000   3392
---- Iteration:    3500   3392
---- Iteration:    4000   3392
---- Iteration:    4500   3392
Feasible solution found

