- Starting heuristic -
TSP  Iteration:       0   3809
---- Iteration:       0   3809
TSP  Iteration:       1   3733
TSP  Iteration:       4   3688
TSP  Iteration:       6   3676
TSP  Iteration:      28   3642
---- Iteration:     500   3642
---- Iteration:    1000   3642
---- Iteration:    1500   3642
---- Iteration:    2000   3642
---- Iteration:    2500   3642
---- Iteration:    3000   3642
---- Iteration:    3500   3642
---- Iteration:    4000   3642
---- Iteration:    4500   3642
---- Iteration:       0   3642
---- Iteration:     500   3642
---- Iteration:    1000   3642
---- Iteration:    1500   3642
---- Iteration:    2000   3642
---- Iteration:    2500   3642
---- Iteration:    3000   3642
---- Iteration:    3500   3642
---- Iteration:    4000   3642
---- Iteration:    4500   3642
Feasible solution found

