- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:     311 202940
---- Iteration:     500 202940
TSP  Iteration:     554 200781
TSP  Iteration:     705 200732
TSP  Iteration:     928 200458
---- Iteration:    1000 200458
TSP  Iteration:    1027 199432
TSP  Iteration:    1074 199321
TSP  Iteration:    1106 198900
TSP  Iteration:    1199 197245
TSP  Iteration:    1233 196030
TSP  Iteration:    1326 195614
---- Iteration:    1500 195614
---- Iteration:    2000 195614
---- Iteration:    2500 195614
---- Iteration:    3000 195614
TSP  Iteration:    3131 191789
---- Iteration:    3500 191789
---- Iteration:    4000 191789
---- Iteration:    4500 191789
TSP  Iteration:    4662 191581
---- Iteration:       0 191581
---- Iteration:     500 191581
---- Iteration:    1000 191581
---- Iteration:    1500 191581
---- Iteration:    2000 191581
---- Iteration:    2500 191581
---- Iteration:    3000 191581
---- Iteration:    3500 191581
---- Iteration:    4000 191581
---- Iteration:    4500 191581
Feasible solution found

