- Starting heuristic -
TSP  Iteration:       0  88854
---- Iteration:       0  88854
TSP  Iteration:       6  88097
TSP  Iteration:       7  87664
TSP  Iteration:      16  85867
TSP  Iteration:      30  85647
TSP  Iteration:     106  85417
TSP  Iteration:     126  83698
TSP  Iteration:     267  83657
TSP  Iteration:     358  83468
---- Iteration:     500  83468
---- Iteration:    1000  83468
TSP  Iteration:    1429  82359
TSP  Iteration:    1431  81136
---- Iteration:    1500  81136
TSP  Iteration:    1621  80739
TSP  Iteration:    1666  80542
TSP  Iteration:    1668  80284
---- Iteration:    2000  80284
TSP  Iteration:    2336  80094
---- Iteration:    2500  80094
---- Iteration:    3000  80094
---- Iteration:    3500  80094
---- Iteration:    4000  80094
---- Iteration:    4500  80094
---- Iteration:       0  80094
---- Iteration:     500  80094
---- Iteration:    1000  80094
---- Iteration:    1500  80094
---- Iteration:    2000  80094
---- Iteration:    2500  80094
---- Iteration:    3000  80094
---- Iteration:    3500  80094
TSP  Iteration:    3678  79963
TSP  Iteration:    3698  79544
---- Iteration:    4000  79544
---- Iteration:    4500  79544
Feasible solution found

