- Starting heuristic -
---- Iteration:       0 INFEAS
---- Iteration:     500 INFEAS
TSP  Iteration:     705 172388
TSP  Iteration:     928 171760
---- Iteration:    1000 171760
TSP  Iteration:    1027 171606
TSP  Iteration:    1074 171400
---- Iteration:    1500 171400
---- Iteration:    2000 171400
---- Iteration:    2500 171400
---- Iteration:    3000 171400
---- Iteration:    3500 171400
---- Iteration:    4000 171400
---- Iteration:    4500 171400
TSP  Iteration:    4662 166465
---- Iteration:       0 166465
---- Iteration:     500 166465
---- Iteration:    1000 166465
---- Iteration:    1500 166465
---- Iteration:    2000 166465
---- Iteration:    2500 166465
TSP  Iteration:    2701 164971
---- Iteration:    3000 164971
---- Iteration:    3500 164971
TSP  Iteration:    3698 163529
---- Iteration:    4000 163529
---- Iteration:    4500 163529
Feasible solution found

