- Starting heuristic -
TSP  Iteration:       0  88854
---- Iteration:       0  88854
TSP  Iteration:      56  85911
TSP  Iteration:     106  85417
TSP  Iteration:     156  83763
TSP  Iteration:     212  83720
TSP  Iteration:     267  83657
TSP  Iteration:     358  83468
---- Iteration:     500  83468
---- Iteration:    1000  83468
TSP  Iteration:    1431  81136
---- Iteration:    1500  81136
TSP  Iteration:    1621  80739
TSP  Iteration:    1666  80542
TSP  Iteration:    1668  80284
---- Iteration:    2000  80284
TSP  Iteration:    2336  80094
---- Iteration:    2500  80094
---- Iteration:    3000  80094
---- Iteration:    3500  80094
---- Iteration:    4000  80094
---- Iteration:    4500  80094
---- Iteration:       0  80094
---- Iteration:     500  80094
---- Iteration:    1000  80094
---- Iteration:    1500  80094
---- Iteration:    2000  80094
---- Iteration:    2500  80094
---- Iteration:    3000  80094
---- Iteration:    3500  80094
---- Iteration:    4000  80094
---- Iteration:    4500  80094
Feasible solution found

