- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:     110 109734
TSP  Iteration:     126 108288
TSP  Iteration:     389 105248
---- Iteration:     500 105248
TSP  Iteration:     705 104229
TSP  Iteration:     928 103548
---- Iteration:    1000 103548
TSP  Iteration:    1074 103379
TSP  Iteration:    1106 103347
TSP  Iteration:    1199 102215
TSP  Iteration:    1233 101441
TSP  Iteration:    1326 100747
---- Iteration:    1500 100747
TSP  Iteration:    1666 100265
TSP  Iteration:    1668  99920
---- Iteration:    2000  99920
---- Iteration:    2500  99920
---- Iteration:    3000  99920
TSP  Iteration:    3131  99800
---- Iteration:    3500  99800
---- Iteration:    4000  99800
---- Iteration:    4500  99800
TSP  Iteration:    4662  99593
---- Iteration:       0  99593
---- Iteration:     500  99593
---- Iteration:    1000  99593
---- Iteration:    1500  99593
---- Iteration:    2000  99593
---- Iteration:    2500  99593
---- Iteration:    3000  99593
---- Iteration:    3500  99593
---- Iteration:    4000  99593
---- Iteration:    4500  99593
Feasible solution found

