- Starting heuristic -
TSP  Iteration:       0  28798
---- Iteration:       0  28798
TSP  Iteration:       2  27479
TSP  Iteration:      13  26992
TSP  Iteration:      21  26697
---- Iteration:     500  26697
---- Iteration:    1000  26697
---- Iteration:    1500  26697
---- Iteration:    2000  26697
---- Iteration:    2500  26697
---- Iteration:    3000  26697
---- Iteration:    3500  26697
---- Iteration:    4000  26697
---- Iteration:    4500  26697
TSP  Iteration:       0  26464
---- Iteration:       0  26464
TSP  Iteration:       8  26451
---- Iteration:     500  26451
---- Iteration:    1000  26451
---- Iteration:    1500  26451
---- Iteration:    2000  26451
---- Iteration:    2500  26451
---- Iteration:    3000  26451
---- Iteration:    3500  26451
---- Iteration:    4000  26451
---- Iteration:    4500  26451
Feasible solution found

