- Starting heuristic -
TSP  Iteration:       0  29285
---- Iteration:       0  29285
TSP  Iteration:       2  28260
TSP  Iteration:      21  27879
TSP  Iteration:      22  27749
TSP  Iteration:      23  27679
---- Iteration:     500  27679
---- Iteration:    1000  27679
---- Iteration:    1500  27679
---- Iteration:    2000  27679
---- Iteration:    2500  27679
---- Iteration:    3000  27679
---- Iteration:    3500  27679
---- Iteration:    4000  27679
---- Iteration:    4500  27679
TSP  Iteration:       0  26949
---- Iteration:       0  26949
---- Iteration:     500  26949
---- Iteration:    1000  26949
---- Iteration:    1500  26949
---- Iteration:    2000  26949
---- Iteration:    2500  26949
---- Iteration:    3000  26949
---- Iteration:    3500  26949
---- Iteration:    4000  26949
---- Iteration:    4500  26949
Feasible solution found

