- Starting heuristic -
TSP  Iteration:       0  32536
---- Iteration:       0  32536
TSP  Iteration:       2  31229
TSP  Iteration:      13  31215
TSP  Iteration:      21  30599
TSP  Iteration:      23  30330
---- Iteration:     500  30330
---- Iteration:    1000  30330
---- Iteration:    1500  30330
---- Iteration:    2000  30330
---- Iteration:    2500  30330
---- Iteration:    3000  30330
---- Iteration:    3500  30330
---- Iteration:    4000  30330
---- Iteration:    4500  30330
---- Iteration:       0  30330
---- Iteration:     500  30330
---- Iteration:    1000  30330
---- Iteration:    1500  30330
---- Iteration:    2000  30330
---- Iteration:    2500  30330
---- Iteration:    3000  30330
---- Iteration:    3500  30330
---- Iteration:    4000  30330
---- Iteration:    4500  30330
Feasible solution found

