- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      68   5569
TSP  Iteration:     117   5417
TSP  Iteration:     248   5394
TSP  Iteration:     298   5321
---- Iteration:     500   5321
---- Iteration:    1000   5321
---- Iteration:    1500   5321
---- Iteration:    2000   5321
---- Iteration:    2500   5321
---- Iteration:    3000   5321
---- Iteration:    3500   5321
---- Iteration:    4000   5321
---- Iteration:    4500   5321
---- Iteration:       0   5321
---- Iteration:     500   5321
TSP  Iteration:     634   5104
---- Iteration:    1000   5104
TSP  Iteration:    1325   4945
TSP  Iteration:    1345   4895
TSP  Iteration:    1444   4844
---- Iteration:    1500   4844
TSP  Iteration:    1561   4797
---- Iteration:    2000   4797
---- Iteration:    2500   4797
---- Iteration:    3000   4797
---- Iteration:    3500   4797
---- Iteration:    4000   4797
---- Iteration:    4500   4797
Feasible solution found

