- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:     248   9802
---- Iteration:     500   9802
---- Iteration:    1000   9802
---- Iteration:    1500   9802
---- Iteration:    2000   9802
---- Iteration:    2500   9802
---- Iteration:    3000   9802
---- Iteration:    3500   9802
---- Iteration:    4000   9802
---- Iteration:    4500   9802
---- Iteration:       0   9802
TSP  Iteration:     200   9728
TSP  Iteration:     212   9701
TSP  Iteration:     338   9621
TSP  Iteration:     352   9469
---- Iteration:     500   9469
TSP  Iteration:     634   9025
---- Iteration:    1000   9025
TSP  Iteration:    1325   8777
TSP  Iteration:    1345   8735
TSP  Iteration:    1444   8708
---- Iteration:    1500   8708
TSP  Iteration:    1561   8583
---- Iteration:    2000   8583
---- Iteration:    2500   8583
---- Iteration:    3000   8583
---- Iteration:    3500   8583
---- Iteration:    4000   8583
---- Iteration:    4500   8583
Feasible solution found

