- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      21  11765
TSP  Iteration:      68  11634
TSP  Iteration:      86  11403
TSP  Iteration:     105  11369
TSP  Iteration:     117  11175
TSP  Iteration:     139  10995
TSP  Iteration:     169  10930
TSP  Iteration:     184  10715
TSP  Iteration:     196  10635
TSP  Iteration:     226  10631
TSP  Iteration:     248  10363
TSP  Iteration:     298  10137
---- Iteration:     500  10137
TSP  Iteration:     554  10073
TSP  Iteration:     971   9990
---- Iteration:    1000   9990
---- Iteration:    1500   9990
TSP  Iteration:    1616   9935
TSP  Iteration:    1704   9927
TSP  Iteration:    1846   9678
---- Iteration:    2000   9678
TSP  Iteration:    2128   9521
---- Iteration:    2500   9521
---- Iteration:    3000   9521
---- Iteration:    3500   9521
---- Iteration:    4000   9521
---- Iteration:    4500   9521
---- Iteration:       0   9521
---- Iteration:     500   9521
---- Iteration:    1000   9521
TSP  Iteration:    1063   9498
TSP  Iteration:    1325   9219
TSP  Iteration:    1345   9165
---- Iteration:    1500   9165
TSP  Iteration:    1561   9111
---- Iteration:    2000   9111
---- Iteration:    2500   9111
---- Iteration:    3000   9111
---- Iteration:    3500   9111
---- Iteration:    4000   9111
---- Iteration:    4500   9111
Feasible solution found

