- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      68   9546
TSP  Iteration:     117   9247
---- Iteration:     500   9247
---- Iteration:    1000   9247
---- Iteration:    1500   9247
TSP  Iteration:    1616   8717
TSP  Iteration:    1846   8557
---- Iteration:    2000   8557
TSP  Iteration:    2128   8402
---- Iteration:    2500   8402
---- Iteration:    3000   8402
---- Iteration:    3500   8402
---- Iteration:    4000   8402
---- Iteration:    4500   8402
---- Iteration:       0   8402
---- Iteration:     500   8402
---- Iteration:    1000   8402
TSP  Iteration:    1063   8231
TSP  Iteration:    1345   8177
TSP  Iteration:    1444   8150
---- Iteration:    1500   8150
TSP  Iteration:    1561   8084
---- Iteration:    2000   8084
---- Iteration:    2500   8084
---- Iteration:    3000   8084
---- Iteration:    3500   8084
---- Iteration:    4000   8084
---- Iteration:    4500   8084
Feasible solution found

