- Starting heuristic -
TSP  Iteration:       0   7278
---- Iteration:       0   7278
TSP  Iteration:      21   7163
TSP  Iteration:      68   7100
TSP  Iteration:      75   7009
TSP  Iteration:      86   6910
TSP  Iteration:     105   6858
TSP  Iteration:     117   6705
---- Iteration:     500   6705
TSP  Iteration:     554   6033
TSP  Iteration:     971   6014
---- Iteration:    1000   6014
---- Iteration:    1500   6014
TSP  Iteration:    1616   5981
TSP  Iteration:    1704   5967
TSP  Iteration:    1846   5814
---- Iteration:    2000   5814
TSP  Iteration:    2128   5757
---- Iteration:    2500   5757
---- Iteration:    3000   5757
---- Iteration:    3500   5757
---- Iteration:    4000   5757
---- Iteration:    4500   5757
---- Iteration:       0   5757
---- Iteration:     500   5757
---- Iteration:    1000   5757
TSP  Iteration:    1325   5593
TSP  Iteration:    1345   5561
---- Iteration:    1500   5561
TSP  Iteration:    1561   5546
---- Iteration:    2000   5546
---- Iteration:    2500   5546
---- Iteration:    3000   5546
---- Iteration:    3500   5546
---- Iteration:    4000   5546
---- Iteration:    4500   5546
Feasible solution found

