- Starting heuristic -
TSP  Iteration:       0  32358
---- Iteration:       0  32358
TSP  Iteration:       1  31596
TSP  Iteration:      36  31488
TSP  Iteration:      37  31460
TSP  Iteration:      43  30900
TSP  Iteration:      87  30340
---- Iteration:     500  30340
---- Iteration:    1000  30340
---- Iteration:    1500  30340
---- Iteration:    2000  30340
---- Iteration:    2500  30340
---- Iteration:    3000  30340
---- Iteration:    3500  30340
---- Iteration:    4000  30340
---- Iteration:    4500  30340
---- Iteration:       0  30340
TSP  Iteration:     234  30254
---- Iteration:     500  30254
---- Iteration:    1000  30254
---- Iteration:    1500  30254
---- Iteration:    2000  30254
---- Iteration:    2500  30254
---- Iteration:    3000  30254
---- Iteration:    3500  30254
---- Iteration:    4000  30254
---- Iteration:    4500  30254
Feasible solution found

