- Starting heuristic -
TSP  Iteration:       0  53924
---- Iteration:       0  53924
TSP  Iteration:       1  52688
TSP  Iteration:       4  52309
TSP  Iteration:      31  52292
TSP  Iteration:      36  51969
TSP  Iteration:      43  50427
TSP  Iteration:      87  50015
TSP  Iteration:      91  49998
---- Iteration:     500  49998
---- Iteration:    1000  49998
---- Iteration:    1500  49998
---- Iteration:    2000  49998
---- Iteration:    2500  49998
---- Iteration:    3000  49998
---- Iteration:    3500  49998
---- Iteration:    4000  49998
---- Iteration:    4500  49998
---- Iteration:       0  49998
---- Iteration:     500  49998
---- Iteration:    1000  49998
---- Iteration:    1500  49998
---- Iteration:    2000  49998
---- Iteration:    2500  49998
---- Iteration:    3000  49998
---- Iteration:    3500  49998
---- Iteration:    4000  49998
---- Iteration:    4500  49998
Feasible solution found

