- Starting heuristic -
TSP  Iteration:       0  28974
---- Iteration:       0  28974
TSP  Iteration:      36  27366
TSP  Iteration:      43  27221
---- Iteration:     500  27221
---- Iteration:    1000  27221
---- Iteration:    1500  27221
---- Iteration:    2000  27221
---- Iteration:    2500  27221
---- Iteration:    3000  27221
---- Iteration:    3500  27221
---- Iteration:    4000  27221
---- Iteration:    4500  27221
---- Iteration:       0  27221
---- Iteration:     500  27221
---- Iteration:    1000  27221
---- Iteration:    1500  27221
---- Iteration:    2000  27221
---- Iteration:    2500  27221
---- Iteration:    3000  27221
---- Iteration:    3500  27221
---- Iteration:    4000  27221
---- Iteration:    4500  27221
Feasible solution found

