- Starting heuristic -
TSP  Iteration:       0  34014
---- Iteration:       0  34014
---- Iteration:     500  34014
---- Iteration:    1000  34014
---- Iteration:    1500  34014
---- Iteration:    2000  34014
---- Iteration:    2500  34014
---- Iteration:    3000  34014
---- Iteration:    3500  34014
---- Iteration:    4000  34014
---- Iteration:    4500  34014
TSP  Iteration:       0  33992
---- Iteration:       0  33992
---- Iteration:     500  33992
---- Iteration:    1000  33992
---- Iteration:    1500  33992
---- Iteration:    2000  33992
---- Iteration:    2500  33992
---- Iteration:    3000  33992
---- Iteration:    3500  33992
---- Iteration:    4000  33992
---- Iteration:    4500  33992
Feasible solution found

