- Starting heuristic -
TSP  Iteration:       0  19312
---- Iteration:       0  19312
---- Iteration:     500  19312
---- Iteration:    1000  19312
---- Iteration:    1500  19312
---- Iteration:    2000  19312
---- Iteration:    2500  19312
---- Iteration:    3000  19312
---- Iteration:    3500  19312
---- Iteration:    4000  19312
---- Iteration:    4500  19312
---- Iteration:       0  19312
---- Iteration:     500  19312
---- Iteration:    1000  19312
---- Iteration:    1500  19312
---- Iteration:    2000  19312
---- Iteration:    2500  19312
---- Iteration:    3000  19312
---- Iteration:    3500  19312
---- Iteration:    4000  19312
---- Iteration:    4500  19312
Feasible solution found

