- Starting heuristic -
TSP  Iteration:       0  30524
---- Iteration:       0  30524
---- Iteration:     500  30524
---- Iteration:    1000  30524
---- Iteration:    1500  30524
---- Iteration:    2000  30524
---- Iteration:    2500  30524
---- Iteration:    3000  30524
---- Iteration:    3500  30524
---- Iteration:    4000  30524
---- Iteration:    4500  30524
---- Iteration:       0  30524
---- Iteration:     500  30524
---- Iteration:    1000  30524
---- Iteration:    1500  30524
---- Iteration:    2000  30524
---- Iteration:    2500  30524
---- Iteration:    3000  30524
---- Iteration:    3500  30524
---- Iteration:    4000  30524
---- Iteration:    4500  30524
Feasible solution found

