- Starting heuristic -
TSP  Iteration:       0  32504
---- Iteration:       0  32504
---- Iteration:     500  32504
---- Iteration:    1000  32504
---- Iteration:    1500  32504
---- Iteration:    2000  32504
---- Iteration:    2500  32504
---- Iteration:    3000  32504
---- Iteration:    3500  32504
---- Iteration:    4000  32504
---- Iteration:    4500  32504
---- Iteration:       0  32504
---- Iteration:     500  32504
---- Iteration:    1000  32504
---- Iteration:    1500  32504
---- Iteration:    2000  32504
---- Iteration:    2500  32504
---- Iteration:    3000  32504
---- Iteration:    3500  32504
---- Iteration:    4000  32504
---- Iteration:    4500  32504
Feasible solution found

