- Starting heuristic -
TSP  Iteration:       0  20758
---- Iteration:       0  20758
---- Iteration:     500  20758
---- Iteration:    1000  20758
---- Iteration:    1500  20758
---- Iteration:    2000  20758
---- Iteration:    2500  20758
---- Iteration:    3000  20758
---- Iteration:    3500  20758
---- Iteration:    4000  20758
---- Iteration:    4500  20758
TSP  Iteration:       0  20724
---- Iteration:       0  20724
---- Iteration:     500  20724
---- Iteration:    1000  20724
---- Iteration:    1500  20724
---- Iteration:    2000  20724
---- Iteration:    2500  20724
---- Iteration:    3000  20724
---- Iteration:    3500  20724
---- Iteration:    4000  20724
---- Iteration:    4500  20724
Feasible solution found

