- Starting heuristic -
TSP  Iteration:       0  18463
---- Iteration:       0  18463
---- Iteration:     500  18463
---- Iteration:    1000  18463
---- Iteration:    1500  18463
---- Iteration:    2000  18463
---- Iteration:    2500  18463
---- Iteration:    3000  18463
---- Iteration:    3500  18463
---- Iteration:    4000  18463
---- Iteration:    4500  18463
---- Iteration:       0  18463
---- Iteration:     500  18463
---- Iteration:    1000  18463
---- Iteration:    1500  18463
---- Iteration:    2000  18463
---- Iteration:    2500  18463
---- Iteration:    3000  18463
---- Iteration:    3500  18463
---- Iteration:    4000  18463
---- Iteration:    4500  18463
Feasible solution found

