- Starting heuristic -
TSP  Iteration:       0   3214
---- Iteration:       0   3214
TSP  Iteration:      89   3087
---- Iteration:     500   3087
---- Iteration:    1000   3087
---- Iteration:    1500   3087
---- Iteration:    2000   3087
---- Iteration:    2500   3087
---- Iteration:    3000   3087
---- Iteration:    3500   3087
---- Iteration:    4000   3087
---- Iteration:    4500   3087
---- Iteration:       0   3087
---- Iteration:     500   3087
---- Iteration:    1000   3087
---- Iteration:    1500   3087
---- Iteration:    2000   3087
---- Iteration:    2500   3087
---- Iteration:    3000   3087
---- Iteration:    3500   3087
---- Iteration:    4000   3087
---- Iteration:    4500   3087
Feasible solution found

