- Starting heuristic -
TSP  Iteration:       0 185328
---- Iteration:       0 185328
TSP  Iteration:       4 184562
TSP  Iteration:       6 183195
TSP  Iteration:     156 178007
TSP  Iteration:     238 177545
TSP  Iteration:     261 177067
TSP  Iteration:     266 175478
TSP  Iteration:     267 174642
TSP  Iteration:     432 174278
TSP  Iteration:     488 173925
---- Iteration:     500 173925
TSP  Iteration:     554 173051
TSP  Iteration:     705 172388
TSP  Iteration:     928 171760
TSP  Iteration:       0 170052
---- Iteration:       0 170052
TSP  Iteration:      58 169993
TSP  Iteration:     101 169129
TSP  Iteration:     126 168547
TSP  Iteration:     336 167331
---- Iteration:     500 167331
TSP  Iteration:     601 166237
TSP  Iteration:     654 165643
TSP  Iteration:     697 164748
TSP  Iteration:     851 164091
TSP  Iteration:     866 162665
TSP  Iteration:     871 162231
TSP  Iteration:     935 161573
Feasible solution found

