- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       2   3552
---- Iteration:     500   3552
---- Iteration:    1000   3552
---- Iteration:    1500   3552
---- Iteration:    2000   3552
---- Iteration:    2500   3552
---- Iteration:    3000   3552
---- Iteration:    3500   3552
---- Iteration:    4000   3552
---- Iteration:    4500   3552
---- Iteration:       0   3552
---- Iteration:     500   3552
---- Iteration:    1000   3552
---- Iteration:    1500   3552
---- Iteration:    2000   3552
---- Iteration:    2500   3552
---- Iteration:    3000   3552
---- Iteration:    3500   3552
---- Iteration:    4000   3552
---- Iteration:    4500   3552
Feasible solution found

