- Starting heuristic -
TSP  Iteration:       0   3915
---- Iteration:       0   3915
---- Iteration:     500   3915
---- Iteration:    1000   3915
---- Iteration:    1500   3915
---- Iteration:    2000   3915
---- Iteration:    2500   3915
---- Iteration:    3000   3915
---- Iteration:    3500   3915
---- Iteration:    4000   3915
---- Iteration:    4500   3915
TSP  Iteration:       0   3836
---- Iteration:       0   3836
---- Iteration:     500   3836
---- Iteration:    1000   3836
---- Iteration:    1500   3836
---- Iteration:    2000   3836
---- Iteration:    2500   3836
---- Iteration:    3000   3836
---- Iteration:    3500   3836
---- Iteration:    4000   3836
---- Iteration:    4500   3836
Feasible solution found

