- Starting heuristic -
TSP  Iteration:       0   3604
---- Iteration:       0   3604
TSP  Iteration:       1   3582
TSP  Iteration:       2   3552
TSP  Iteration:      25   3462
---- Iteration:     500   3462
---- Iteration:    1000   3462
---- Iteration:    1500   3462
---- Iteration:    2000   3462
---- Iteration:    2500   3462
---- Iteration:    3000   3462
---- Iteration:    3500   3462
---- Iteration:    4000   3462
---- Iteration:    4500   3462
---- Iteration:       0   3462
---- Iteration:     500   3462
---- Iteration:    1000   3462
---- Iteration:    1500   3462
---- Iteration:    2000   3462
---- Iteration:    2500   3462
---- Iteration:    3000   3462
---- Iteration:    3500   3462
---- Iteration:    4000   3462
---- Iteration:    4500   3462
Feasible solution found

