- Starting heuristic -
---- Iteration:       0 INFEAS
---- Iteration:     500 INFEAS
---- Iteration:    1000 INFEAS
---- Iteration:    1500 INFEAS
---- Iteration:    2000 INFEAS
---- Iteration:    2500 INFEAS
---- Iteration:    3000 INFEAS
---- Iteration:    3500 INFEAS
---- Iteration:    4000 INFEAS
---- Iteration:    4500 INFEAS
TSP  Iteration:       0  27369
---- Iteration:       0  27369
TSP  Iteration:       1  27005
TSP  Iteration:      20  26989
TSP  Iteration:      26  26517
TSP  Iteration:      38  26509
TSP  Iteration:      70  26482
TSP  Iteration:     146  26021
TSP  Iteration:     375  25849
---- Iteration:     500  25849
TSP  Iteration:     547  25370
TSP  Iteration:     549  25364
TSP  Iteration:     567  24652
TSP  Iteration:     761  24377
TSP  Iteration:     812  24147
TSP  Iteration:     920  24135
TSP  Iteration:     940  24029
TSP  Iteration:     955  23978
TSP  Iteration:     971  23638
---- Iteration:    1000  23638
TSP  Iteration:    1008  23097
TSP  Iteration:    1016  23086
TSP  Iteration:    1020  22947
TSP  Iteration:    1092  22943
TSP  Iteration:    1320  22825
---- Iteration:    1500  22825
TSP  Iteration:    1776  22621
TSP  Iteration:    1868  22364
---- Iteration:    2000  22364
---- Iteration:    2500  22364
---- Iteration:    3000  22364
---- Iteration:    3500  22364
TSP  Iteration:    3516  22180
---- Iteration:    4000  22180
---- Iteration:    4500  22180
Feasible solution found

