- Starting heuristic -
TSP  Iteration:       0  49452
---- Iteration:       0  49452
TSP  Iteration:       4  48949
TSP  Iteration:       6  48492
TSP  Iteration:      10  47918
TSP  Iteration:      11  47359
TSP  Iteration:      32  45747
TSP  Iteration:      53  45451
TSP  Iteration:      97  45217
TSP  Iteration:      98  45159
TSP  Iteration:     119  44444
TSP  Iteration:     166  44428
TSP  Iteration:     403  44261
TSP  Iteration:     422  44250
TSP  Iteration:     484  44156
---- Iteration:     500  44156
TSP  Iteration:     514  43712
TSP  Iteration:     540  43566
TSP  Iteration:     597  43553
TSP  Iteration:     606  43510
TSP  Iteration:     609  43186
TSP  Iteration:     922  43160
TSP  Iteration:     976  42901
---- Iteration:    1000  42901
TSP  Iteration:    1017  42547
TSP  Iteration:    1038  42431
TSP  Iteration:    1188  42157
TSP  Iteration:    1230  42146
---- Iteration:    1500  42146
---- Iteration:    2000  42146
---- Iteration:    2500  42146
---- Iteration:    3000  42146
---- Iteration:    3500  42146
---- Iteration:    4000  42146
---- Iteration:    4500  42146
---- Iteration:       0  42146
---- Iteration:     500  42146
TSP  Iteration:     549  41991
TSP  Iteration:     567  41583
TSP  Iteration:     761  41112
TSP  Iteration:     812  39932
TSP  Iteration:     920  39909
TSP  Iteration:     940  39662
TSP  Iteration:     955  39492
TSP  Iteration:     971  39082
---- Iteration:    1000  39082
TSP  Iteration:    1008  38340
TSP  Iteration:    1016  38338
TSP  Iteration:    1020  38172
TSP  Iteration:    1320  38061
---- Iteration:    1500  38061
TSP  Iteration:    1776  37798
TSP  Iteration:    1868  37401
---- Iteration:    2000  37401
---- Iteration:    2500  37401
---- Iteration:    3000  37401
---- Iteration:    3500  37401
TSP  Iteration:    3516  37118
---- Iteration:    4000  37118
---- Iteration:    4500  37118
Feasible solution found

