- Starting heuristic -
TSP  Iteration:       0  25407
---- Iteration:       0  25407
TSP  Iteration:       4  24933
TSP  Iteration:       6  24827
TSP  Iteration:      11  24773
TSP  Iteration:      32  24260
TSP  Iteration:      53  24212
TSP  Iteration:      97  24187
TSP  Iteration:      98  24181
TSP  Iteration:     119  23789
TSP  Iteration:     484  23726
---- Iteration:     500  23726
TSP  Iteration:     514  22886
---- Iteration:    1000  22886
TSP  Iteration:    1017  22522
---- Iteration:    1500  22522
---- Iteration:    2000  22522
---- Iteration:    2500  22522
---- Iteration:    3000  22522
---- Iteration:    3500  22522
---- Iteration:    4000  22522
---- Iteration:    4500  22522
---- Iteration:       0  22522
TSP  Iteration:     146  22472
---- Iteration:     500  22472
TSP  Iteration:     547  22047
TSP  Iteration:     761  21766
TSP  Iteration:     812  20166
TSP  Iteration:     920  20159
TSP  Iteration:     971  20154
---- Iteration:    1000  20154
TSP  Iteration:    1008  20065
TSP  Iteration:    1020  19704
---- Iteration:    1500  19704
TSP  Iteration:    1868  19701
---- Iteration:    2000  19701
---- Iteration:    2500  19701
---- Iteration:    3000  19701
---- Iteration:    3500  19701
TSP  Iteration:    3516  19432
---- Iteration:    4000  19432
---- Iteration:    4500  19432
Feasible solution found

