- Starting heuristic -
TSP  Iteration:       0  28899
---- Iteration:       0  28899
TSP  Iteration:       4  28597
TSP  Iteration:       6  28417
TSP  Iteration:      10  27986
TSP  Iteration:      11  27889
TSP  Iteration:      32  26811
TSP  Iteration:      53  26729
TSP  Iteration:     119  26232
TSP  Iteration:     166  26217
TSP  Iteration:     185  26210
TSP  Iteration:     255  26207
TSP  Iteration:     394  26186
TSP  Iteration:     399  25873
TSP  Iteration:     403  25751
TSP  Iteration:     422  25743
TSP  Iteration:     484  25711
---- Iteration:     500  25711
TSP  Iteration:     514  25657
TSP  Iteration:     540  25564
TSP  Iteration:     597  25558
TSP  Iteration:     606  25514
TSP  Iteration:     609  25319
TSP  Iteration:     636  25315
TSP  Iteration:     922  25310
TSP  Iteration:     976  25166
---- Iteration:    1000  25166
TSP  Iteration:    1017  24965
TSP  Iteration:    1038  24911
TSP  Iteration:    1188  24676
TSP  Iteration:    1230  24668
---- Iteration:    1500  24668
---- Iteration:    2000  24668
---- Iteration:    2500  24668
---- Iteration:    3000  24668
---- Iteration:    3500  24668
---- Iteration:    4000  24668
---- Iteration:    4500  24668
---- Iteration:       0  24668
---- Iteration:     500  24668
TSP  Iteration:     567  24652
TSP  Iteration:     761  24377
TSP  Iteration:     812  24147
TSP  Iteration:     920  24135
TSP  Iteration:     940  24029
TSP  Iteration:     955  23978
TSP  Iteration:     971  23638
---- Iteration:    1000  23638
TSP  Iteration:    1008  23097
TSP  Iteration:    1016  23086
TSP  Iteration:    1020  22947
TSP  Iteration:    1092  22943
TSP  Iteration:    1320  22825
---- Iteration:    1500  22825
TSP  Iteration:    1776  22621
TSP  Iteration:    1868  22364
---- Iteration:    2000  22364
---- Iteration:    2500  22364
---- Iteration:    3000  22364
---- Iteration:    3500  22364
TSP  Iteration:    3516  22180
---- Iteration:    4000  22180
---- Iteration:    4500  22180
Feasible solution found

