- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      32  41863
TSP  Iteration:      53  41720
TSP  Iteration:      97  41330
TSP  Iteration:     119  41115
---- Iteration:     500  41115
---- Iteration:    1000  41115
---- Iteration:    1500  41115
---- Iteration:    2000  41115
---- Iteration:    2500  41115
---- Iteration:    3000  41115
---- Iteration:    3500  41115
---- Iteration:    4000  41115
---- Iteration:    4500  41115
---- Iteration:       0  41115
TSP  Iteration:       1  41001
TSP  Iteration:      20  39921
---- Iteration:     500  39921
TSP  Iteration:     547  38528
TSP  Iteration:     549  38506
TSP  Iteration:     567  38218
TSP  Iteration:     761  38162
TSP  Iteration:     812  35889
TSP  Iteration:     920  35883
TSP  Iteration:     955  35408
TSP  Iteration:     971  35050
---- Iteration:    1000  35050
TSP  Iteration:    1008  34584
TSP  Iteration:    1020  34215
---- Iteration:    1500  34215
TSP  Iteration:    1776  34106
TSP  Iteration:    1868  33671
---- Iteration:    2000  33671
---- Iteration:    2500  33671
---- Iteration:    3000  33671
---- Iteration:    3500  33671
TSP  Iteration:    3516  33195
---- Iteration:    4000  33195
---- Iteration:    4500  33195
Feasible solution found

