- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      11  26472
TSP  Iteration:      53  25554
TSP  Iteration:      97  25528
TSP  Iteration:     119  25053
TSP  Iteration:     166  25050
TSP  Iteration:     185  25043
TSP  Iteration:     255  25034
---- Iteration:     500  25034
---- Iteration:    1000  25034
---- Iteration:    1500  25034
---- Iteration:    2000  25034
---- Iteration:    2500  25034
---- Iteration:    3000  25034
---- Iteration:    3500  25034
---- Iteration:    4000  25034
---- Iteration:    4500  25034
---- Iteration:       0  25034
TSP  Iteration:      26  24599
TSP  Iteration:     146  24513
TSP  Iteration:     375  24492
---- Iteration:     500  24492
TSP  Iteration:     547  23588
TSP  Iteration:     567  23487
TSP  Iteration:     761  23196
TSP  Iteration:     812  21997
TSP  Iteration:     920  21992
---- Iteration:    1000  21992
TSP  Iteration:    1008  21881
TSP  Iteration:    1020  21744
TSP  Iteration:    1320  21651
---- Iteration:    1500  21651
TSP  Iteration:    1776  21368
TSP  Iteration:    1868  21205
---- Iteration:    2000  21205
---- Iteration:    2500  21205
---- Iteration:    3000  21205
---- Iteration:    3500  21205
TSP  Iteration:    3516  20926
---- Iteration:    4000  20926
---- Iteration:    4500  20926
Feasible solution found

